Type;Value;Description
Disadaptation;3;Высокий уровень психической дезадаптации, трудности в установлении контактов: у вас наблюдается длительное отсутствие близких дружественных, интимных контактов, что вызывает апатию и потерю интереса к жизни (имеется высокая депрессивность). Финансовое положение вынуждает вас экономить на удовлетворении базовых потребностей, что может приводить к формированию зависимых отношений с окружающими. Как следствие, постоянное желание переложить ответственность за собственное поведение на любого человека, с которым устанавливается близкий профессиональный, дружественный, интимный контакт. При корректной и поэтапной работе с психологом адаптивное улучшение состояния и существенные изменения в жизни происходят через 4-8 занятий.
Disadaptation;2;У вас установлен средний уровень психической дезадаптации, наблюдается отсутствие близких дружественных, интимных контактов, что вызывает апатию и потерю интереса к жизни. Стабильный низкий финансовый доход вынуждает вас экономить на потребностях развития (обучение, досуг, путешествия). Сохраняется минимальная адаптационная активность (работа, минимальные профессиональные контакты, возможно имеется один или несколько друзей, родитель), благодаря которой вы сохраняете свою независимость и способность к изменениям. При корректной и поэтапной работе с психологом адаптивное улучшение состояния и существенные изменения в жизни происходят через 3-6 занятий. 
Disadaptation;1;Ваша текущая адаптация в пределах нормы, личные, дружественные и профессиональные отношения развиваются интенсивно с периодическими типичными для всех людей кризисами». Рекомендуется прохождение 1-2 консультационных профилактических сессий с психологом.
Anxiety;3;"У вас наблюдается высокий уровень тревожности и навязчивости». Вы испытываете постоянный страх перед неопределенностью будущего, ощущаете стремление вернуться в комфортные и безопасные условия, которые имели место в прошлом (отношения, работа, люди). Имеются обсессивно-компульсивные симптомы (навязчивые мысли, автоматические действия, возможны зависимости). 
При корректной и поэтапной работе с психологом адаптивное улучшение состояния и существенные изменения в жизни происходят через 5-10 занятий.
"
Anxiety;2;"У вас зафиксирован средний уровень тревожности. Присутствует частый страх перед определенными ожиданиями от будущего, есть устойчивое стремление вернуться в комфортные и безопасные условия, которые имели место в прошлом (отношения, работа, люди). Навязчивые (обсессивно-компульсивные) симптомы проявляются при определенных обстоятельствах жизни (надоедливые мысли, автоматические действия, возможны зависимости). 
При корректной и поэтапной работе с психологом адаптивное улучшение состояния и существенные изменения в жизни происходят через 3-6 занятий.
"
Anxiety;1;У вас фиксируется нормальная личностная тревожность, нет хронических страхов и фобий, также не наблюдается симптомов какой-либо навязчивости. Рекомендуется прохождение 1-2 консультационных профилактических сессий с психологом.
Frustration;3;У вас установлен высокий уровень фрустрации и неудовлетворенности жизнью. Отсутствует возможность в осуществлении привычно значимой социальной и творческой деятельности, проблемы с удовлетворением биологических потребностей (пища, секс, безопасность). При корректной и поэтапной работе с психологом адаптивное улучшение состояния и существенные изменения в жизни происходят через 5-10 занятий
Frustration;2;У вас диагностируется средний уровень фрустрации и неудовлетворенности жизнью. Наблюдается резкое сокращение времени на реализации привычно значимых социальных и творческих потребностей, деятельностей. На данный момент вы ощущаете и испытываете отсутствие ресурса, а также возможностей на развитие своих творческих (сверхбиологических) аспектов личности. При корректной и поэтапной работе с психологом адаптивное улучшение состояния и существенные изменения в жизни происходят через 3-7 занятий.
Frustration;1;Ваша самореализация и уровень неудовлетворенности жизнью находятся в пределах общей нормы. Иногда вы испытываете трудности и преграды, однако полны сил и решимости их преодолеть. Вы сохраняете твердое понимание, что все можно изменить, главное – делать то, что нужно именно вам. Рекомендуется прохождение 1-2 консультационных профилактических сессий с психологом
GeneralCondition;3;Вы набрали 7-9 балла! У вас наблюдается высокий уровень психической неустойчивости. В настоящий момент вам трудно справляться с усилившимися трудностями, особенно в отсутствие рядом близких понимающих людей. Рекомендуем работу с психологом, психотерапевтом, так как возможны осложнения, психосоматические проявления и болезни.
GeneralCondition;2;Вы набрали 5-6 балла! У вас диагностируется средний уровень психической неустойчивости. Вы в состоянии и можете поддерживать привычный образ жизни, однако при любом непредвиденном происшествии или кризисной ситуации, возможно резкое болезненное ухудшение во всех аспектах жизни. Рекомендуем работу с психологом, психотерапевтом, так как возможны осложнения, психосоматические проявления и болезни
GeneralCondition;1;Вы набрали 3-4 балла! Ваш уровень психической устойчивости в текущий момент находится в норме. В отдельных аспектах жизни существует беспокоящие вас проблемы, однако вы понимаете их причины и в силах все изменить. Рекомендуем краткосрочную профилактическую работу с психологом, психотерапевтом (1-2 сессий).
